name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
Löfgrens Elinstallation Örebro AB,https://www.allabolag.se/foretag/l%C3%B6fgrens-elinstallation-%C3%B6rebro-ab/%C3%B6rebro/-/5590062286,[],559006-2286,2086,Löfgrens Elinstallation Örebro AB,2015-03-04,Aktiebolag,2,"Åsbyvägen 18, 703 75 Örebro","Tony Löfgren Åsbyvägen 18, 703 75 Örebro",Örebro,50,['43210 Elinstallationer'],Elinstallationer samt försäljning av elmaterial.,,070-263 87 14,
T & C Entreprenad och Transport AB,https://www.allabolag.se/foretag/t-c-entreprenad-och-transport-ab/fjugesta/-/5592480593,[],559248-0593,2085,T & C Entreprenad och Transport AB,2020-03-16,Aktiebolag,1,"Vallgatan 45, 716 31 Fjugesta","Vallgatan 45, 716 31 Fjugesta",Fjugesta,25,['42990 Övriga anläggningsarbeten'],"Bolaget ska bedriva uthyrning av personal, fordon och maskiner, gräventreprenad, samt därmed förenlig verksamhet",,,
Niclas Alkman Schakt AB,https://www.allabolag.se/foretag/niclas-alkman-schakt-ab/%C3%B6rebro/-/5592891096,[],559289-1096,2085,Niclas Alkman Schakt AB,2020-12-10,Aktiebolag,1,"Norra Bro 309, 705 94 Örebro","c/o Niclas Alkman Norra Bro 309, 705 94 Örebro",Örebro,25,"['43120 Mark- och grundarbeten', '64993 Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare']",Bolaget ska främst bedriva gräv - schakt - och entreprenadarbeten - aga och förvalta värdepapper samt därmed förenlig verksamhet.,,,
Lundin Rental AB,https://www.allabolag.se/foretag/lundin-rental-ab/%C3%B6rebro/-/5594666876,[],559466-6876,2085,Lundin Rental AB,2024-01-04,Aktiebolag,0,"Transportgatan 4, 702 27 Örebro","c/o Lundin Transport Örebro Transportgatan 4, 702 27 Örebro",Örebro,25,"['77120 Uthyrning och leasing av lastbilar och andra tunga motorfordon', '93199 Övrig sportverksamhet', '77110 Uthyrning och leasing av personbilar och lätta motorfordon']","Bolaget skall bedriva uthyrning, leasing och finansiering, service av lastbilar, påhängsvagnar, släpvagnar och semitrailers samt därmed förenlig verksamhet.",,,
Hellströms Goda Aktiebolag,https://www.allabolag.se/foretag/hellstr%C3%B6ms-goda-aktiebolag/stora-mell%C3%B6sa/-/5562991686,[],556299-1686,2085,Hellströms Goda Aktiebolag,1987-06-10,Aktiebolag,0,"Ekudden 607, 715 92 Stora Mellösa","Ekudden 607, 715 92 Stora Mellösa",Stora Mellösa,200,['10130 Charkuteri- och annan köttvarutillverkning'],Bolaget skall bedriva charkuterifabrik samt äga och förvalta fastighet och därmed förenlig verksamhet.,Ulf Tore Wiklund,0248-79 87 98,
Charterbuss i Örebro AB,https://www.allabolag.se/foretag/charterbuss-i-%C3%B6rebro-ab/%C3%B6rebro/-/5567384127,[],556738-4127,2081,Charterbuss i Örebro AB,2007-09-19,Aktiebolag,2,"Krangatan 1, 702 27 Örebro","Krangatan 1, 702 27 Örebro",Örebro,100,['49311 Linjebussverksamhet'],Bolaget ska bedriva person- och godstransporter samt handel med värdepapper jämte därmed förenlig verksamhet.,,019-31 20 40,
Syntactica AB,https://www.allabolag.se/foretag/syntactica-ab/%C3%B6rebro/-/5591067748,[],559106-7748,2080,Syntactica AB,2017-03-29,Aktiebolag,2,"Alkärrsvägen 3, 703 67 Örebro","Alkärrsvägen 3, 703 67 Örebro",Örebro,50,"['74300 Översättning och tolkning', '70220 Konsultverksamhet avseende företags organisation']",Aktiebolaget ska bedriva konsultverksamhet inom översättning samt därmed förenlig verksamhet. Bolaget skall även bedriva konsultation mot dagligvaruhandel samt försäljning av konditorivaror..,,,
Svenska Unifelt Aktiebolag,https://www.allabolag.se/foretag/svenska-unifelt-aktiebolag/kumla/-/5562558204,[],556255-8204,2080,Svenska Unifelt Aktiebolag,1985-02-11,Aktiebolag,2,"Ymergatan 9, 692 35 Kumla","Ymergatan 9, 692 35 Kumla",Kumla,100,['13960 Tillverkning av andra tekniska textilier och industritextilier'],Bolaget skall bedriva tillverkning och försäljning av filt-och plastprodukter ävensonm idka därmed förenlig verksamhet.,,019-56 01 10,
Aktiebolaget Nora Finmekaniska,https://www.allabolag.se/foretag/aktiebolaget-nora-finmekaniska/nora/-/5561848341,[],556184-8341,2080,Aktiebolaget Nora Finmekaniska,1973-01-01,Aktiebolag,1,"Stensnäsvägen 10, 713 32 Nora","Nora Finmekaniska AB Stensnäsvägen 10, 713 32 Nora",Nora,100,['25620 Metallegoarbeten'],"Bolaget skall bedriva finmekanisk verkstad samt äga och förvalta aktier och fastigheter, samt därmed förenlig verksamhet.",,,
Volt Elektriska i Vintrosa AB,https://www.allabolag.se/foretag/volt-elektriska-i-vintrosa-ab/vintrosa/-/5593075491,[],559307-5491,2079,Volt Elektriska i Vintrosa AB,2021-03-17,Aktiebolag,1,"Hidinge-Kvarntorp Backstugan, 719 95 Vintrosa","Hidinge-Kvarntorp Backstugan, 719 95 Vintrosa",Vintrosa,25,"['43210 Elinstallationer', '43320 Byggnadssnickeriarbeten']","Bolagets verksamhet ska vara att bedriva entreprenadverksamhet inom bygg och anläggning både till företag och privatpersoner, uthyrning av verktyg och ställning inom ovan nämnda område, elinstallationer, försäljning av el-material, reparation av äldre arcadspel och därmed förenlig verksamhet.",,,
Simon Anders Invest AB,https://www.allabolag.se/foretag/simon-anders-invest-ab/%C3%B6rebro/-/5590422118,[],559042-2118,2079,Simon Anders Invest AB,2015-12-16,Aktiebolag,1-4,"Propellervägen 2, 702 43 Örebro","Propellervägen 2, 702 43 Örebro",Örebro,50,"['77390 Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar', '46630 Partihandel med gruv-, bygg- och anläggningsmaskiner', '70220 Konsultverksamhet avseende företags organisation']","Bolaget skall äga och förvalta lös och fast egendom samt därmed förenlig verksamhet samt äga och förvalta aktier, värdepapper och andelar i andra bolag.",,,
Solid Bilvård i Örebro AB,https://www.allabolag.se/foretag/solid-bilv%C3%A5rd-i-%C3%B6rebro-ab/%C3%B6rebro/-/5591843486,[],559184-3486,2076,Solid Bilvård i Örebro AB,2018-12-06,Aktiebolag,2,"Stångjärnsgatan 7, 703 83 Örebro","Stångjärnsgatan 7, 703 83 Örebro",Örebro,50,"['45110 Handel med personbilar och lätta motorfordon', '45201 Allmän service och reparation av motorfordon utom motorcyklar']","Bolaget skall bedriva bilvårdsverksamhet, bilförsäljning och bilreparationer samt uthyrning av lokal och bygg verksamhet .",,,
AOT Sverige AB,https://www.allabolag.se/foretag/aot-sverige-ab/%C3%B6rebro/-/5591353593,[],559135-3593,2076,AOT Sverige AB,2017-11-27,Aktiebolag,1,"Stenfastagatan 9, 703 69 Örebro","Stenfastagatan 9, 703 69 Örebro",Örebro,50,['46190 Provisionshandel med blandat sortiment'],"Bolagets verksamhet är att bedriva försäljning, service och konsultation inom tråd och trådlös kommunikation inom bild, data, röst och text. Bolaget bedriver även värdepappershandel och därmed förenlig verksamhet.",Lars Andreas Örman,,
Almqvist Sandén IT & Juridik AB,https://www.allabolag.se/foretag/almqvist-sand%C3%A9n-it-juridik-ab/%C3%B6rebro/-/5591722581,[],559172-2581,2073,Almqvist Sandén IT & Juridik AB,2018-09-20,Aktiebolag,2,"Sofiebergsvägen 16, 702 29 Örebro","Jens Almqvist Sofiebergsvägen 16, 702 29 Örebro",Örebro,50,"['62010 Dataprogrammering', '69102 Juridiska byråers verksamhet m.m.']",Konsultverksamhet inom juridik respektive IT.,,,
Kopparmora Entreprenad Aktiebolag,https://www.allabolag.se/foretag/kopparmora-entreprenad-aktiebolag/hammar/-/5563654606,[],556365-4606,2071,Kopparmora Entreprenad Aktiebolag,1989-07-21,Aktiebolag,2,"Skogsvägen 1, 696 94 Hammar","Skogsvägen 1, 696 94 Hammar",Hammar,100,"['43999 Diverse övrig specialiserad bygg- och anläggningsverksamhet', '47890 Torg- och marknadshandel med övriga varor']","Bolaget skall bedriva entreprenadverksamhet inom bygg, mark- och anläggningsarbeten, samt bedriva detaljhandel inom dagligvaror, trädgård, fritid och bygg och därmed förenliga verksamheter.",,08-571 681 03,
Niven AB,https://www.allabolag.se/foretag/niven-ab/askersund/-/5591499446,[],559149-9446,2069,Niven AB,2018-02-20,Aktiebolag,3,"Sundsbrogatan 13-15, 696 30 Askersund","Sundsbrogatan 13-15, 696 30 Askersund",Askersund,50,['56100 Restaurangverksamhet'],"Kioskvaror och gatukök, godis, tobak, kaffe.",,,
Exceed Enterprise AB,https://www.allabolag.se/foretag/exceed-enterprise-ab/%C3%B6rebro/-/5567367635,[],556736-7635,2069,Exceed Enterprise AB,2007-08-30,Aktiebolag,1,"Mosjö Råby 447, 705 94 Örebro","Mosjö Råby 447, 705 94 Örebro",Örebro,100,"['71122 Teknisk konsultverksamhet inom industriteknik', '77290 Uthyrning och leasing av andra hushållsartiklar och varor för personligt bruk']",Teknisk konsultverksamhet inom industriteknik Uthyrning och leasing av andra hushållsartiklar och varor för personligt bruk (till hushåll och företag),,,
Salong Trivsamt i Askersund AB,https://www.allabolag.se/foretag/salong-trivsamt-i-askersund-ab/askersund/-/5592885643,[],559288-5643,2068,Salong Trivsamt i Askersund AB,2020-12-09,Aktiebolag,2,"Stöökagatan 13, 696 30 Askersund","Stöökagatan 13, 696 30 Askersund",Askersund,25,"['47593 Specialiserad butikshandel med glas, porslin och andra bosättningsvaror', '96021 Hårvård']",Företaget ska verka inom frisör- och detaljhandel och därmed förenlig verksamhet. Företaget ska utföra allt inom frisörverksamhet och sälja hårvårdsprodukter och även heminredningsprodukter.,,,
