org_number,legal_name,sni_code,sni_description
556191-0554,Edekyl & Värme AB,43223,Kyl- och frysinstallationsarbeten
556666-3265,Vivida Assistans AB,88102,Öppna sociala insatser för personer med funktionshinder
556704-4465,Logstor Sverige Holding AB,46742,Partihandel med VVS-varor
559040-2458,Sun4Energy Sweden AB,46521,Partihandel med elektronikkomponenter
559138-9753,AQ Special Sheet Metal AB,25620,Metallegoarbeten
559138-9753,AQ Special Sheet Metal AB,29320,Tillverkning av andra delar och tillbehör till motorfordon
556035-3558,Saab Bofors Test Center Aktiebolag,71200,Teknisk provning och analys
556035-3558,Saab Bofors Test Center Aktiebolag,25400,Tillverkning av vapen och ammunition
556035-3558,Saab Bofors Test Center Aktiebolag,38220,Behandling och bortskaffande av farligt avfall
556035-3558,Saab Bofors Test Center Aktiebolag,72190,Annan naturvetenskaplig och teknisk forskning och utveckling
556700-6266,Brogrund Mark AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
559099-0924,Virkeslogistik Mellansverige AB,49410,"Vägtransport, godstrafik"
556736-5894,Jonsson Bil och Trailer AB,45110,Handel med personbilar och lätta motorfordon
556736-5894,Jonsson Bil och Trailer AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
556039-7365,Aktiebolaget Linde Maskiner,29320,Tillverkning av andra delar och tillbehör till motorfordon
556039-7365,Aktiebolaget Linde Maskiner,25730,Tillverkning av verktyg och redskap
556886-0489,Einarsson Recycling Consultant AB,38320,Återvinning av källsorterat material
556886-0489,Einarsson Recycling Consultant AB,46772,Partihandel med metallavfall och metallskrot
556886-0489,Einarsson Recycling Consultant AB,46773,Partihandel med avfall och skrot av icke-metall
556200-9570,Alfapac Aktiebolag,22220,Plastförpackningstillverkning
556200-9570,Alfapac Aktiebolag,22210,Tillverkning av plasthalvfabrikat
556046-8885,Karlskogahem AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556046-8885,Karlskogahem AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556084-8870,Stellana Aktiebolag,28220,Tillverkning av lyft- och godshanteringsanordningar
556884-6132,ProteinBolaget i Sverige AB,47919,Postorderhandel och detaljhandel på Internet med övriga varor
556048-3629,Sigma Polymer Group AB,22190,Annan gummivarutillverkning
556451-3611,NERCIA Utbildning Aktiebolag,85591,Arbetsmarknadsutbildning
556451-3611,NERCIA Utbildning Aktiebolag,85594,Personalutbildning
556451-3611,NERCIA Utbildning Aktiebolag,85312,Kommunal vuxenutbildning o.d.
556451-3611,NERCIA Utbildning Aktiebolag,85410,Eftergymnasial utbildning vid annat än universitet och högskola
556501-8370,Länsgården Fastigheter Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556501-8370,Länsgården Fastigheter Aktiebolag,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556501-8370,Länsgården Fastigheter Aktiebolag,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556452-4790,Multeral AB,46699,Partihandel med diverse övriga maskiner och utrustning
556452-4790,Multeral AB,33120,Reparation av maskiner
556452-4790,Multeral AB,33200,Installation av industrimaskiner och -utrustning
556502-5755,EcoGuard AB,46521,Partihandel med elektronikkomponenter
556502-5755,EcoGuard AB,62090,Andra IT- och datatjänster
556502-5755,EcoGuard AB,70100,Verksamheter som utövas av huvudkontor
556673-3282,KGA Logistik AB,52100,Magasinering och varulagring
556632-1286,LBC Logistik Östra Wermland AB,49410,"Vägtransport, godstrafik"
556089-5665,"NLF, Nora-Lindefrakt Aktiebolag",52290,Övriga stödtjänster till transport
556090-6272,Drillcon Scandinavia Aktiebolag,43120,Mark- och grundarbeten
556355-2735,BS Åkeri Bengt Strömvall Aktiebolag,43120,Mark- och grundarbeten
556586-5788,Tormek AB,28410,Tillverkning av verktygsmaskiner för metallbearbetning
556586-5788,Tormek AB,23910,Slipmedelstillverkning
556606-7475,Bama Foods AB,10890,Framställning av andra livsmedel
556606-7475,Bama Foods AB,46310,Partihandel med frukt och grönsaker
556575-9585,Bra Gross Sverige Aktiebolag,46742,Partihandel med VVS-varor
556834-9954,Närke Kött i Örebro AB,10112,Styckning av kött
556554-6156,Puts & Tegel i Örebro AB,43310,"Puts-, fasad- och stuckatörsarbeten"
559221-2616,Evolent AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
559221-2616,Evolent AB,71122,Teknisk konsultverksamhet inom industriteknik
559221-2616,Evolent AB,70220,Konsultverksamhet avseende företags organisation
556792-9632,Winn Scandinavia AB,47430,Specialiserad butikshandel med ljud- och bildanläggningar samt videoutrustning
556574-9990,Nethouse Sverige AB,62020,Datakonsultverksamhet
556574-9990,Nethouse Sverige AB,62030,Datordrifttjänster
556574-9990,Nethouse Sverige AB,62010,Dataprogrammering
556574-9990,Nethouse Sverige AB,62090,Andra IT- och datatjänster
556574-9990,Nethouse Sverige AB,69201,Redovisning och bokföring
556492-0410,Capio Läkargruppen AB,86222,"Specialistläkarverksamhet inom öppenvård, ej på sjukhus"
556520-7478,Saferoad Services AB,42110,Anläggning av vägar och motorvägar
556548-1214,Oppboga Bruk Aktiebolag,17129,Övrig tillverkning av papper och papp
556514-4861,Närkes Slakteri i Gällersta Aktiebolag,10111,Kreatursslakt
556477-1359,Kumla Bostäder Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556477-1359,Kumla Bostäder Aktiebolag,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
559234-0268,CarDeal Örebro AB,45110,Handel med personbilar och lätta motorfordon
556507-4290,Karlskoga Elnät AB,35130,Distribution av elektricitet
556714-0420,Unika Kungsängen AB,87201,Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder
556714-0420,Unika Kungsängen AB,88102,Öppna sociala insatser för personer med funktionshinder
556216-6289,MaxiDoor Aktiebolag,25120,Tillverkning av dörrar och fönster av metall
556511-7891,Exact Svenska Mätcenter AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
556511-7891,Exact Svenska Mätcenter AB,70100,Verksamheter som utövas av huvudkontor
556401-3596,ITS Logistikpartner Aktiebolag,70220,Konsultverksamhet avseende företags organisation
556647-9969,Laxå Pellets AB,16291,Tillverkning av förädlade trädbränslen
556616-1948,Flex Applications Sverige AB,62010,Dataprogrammering
556733-7331,Centrala Gummi AB,45204,Däckservice
556733-7331,Centrala Gummi AB,45320,Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar
556550-3967,Torghallen i Askersund AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556338-8056,Outdoor Enterprise Sweden AB,46699,Partihandel med diverse övriga maskiner och utrustning
556039-2838,Björka Mineral AB,08110,"Brytning av natursten, kalk- och gipssten, krita och skiffer"
556039-2838,Björka Mineral AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556895-1148,Vossloh Rail Services Scandinavia AB,42120,Anläggning av järnvägar och tunnelbanor
556727-3882,Partega Butik & Kommersiell Miljö AB,43120,Mark- och grundarbeten
556727-3882,Partega Butik & Kommersiell Miljö AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
556727-3882,Partega Butik & Kommersiell Miljö AB,64992,"Handel med och förvaltning av värdepapper, för egen räkning"
556727-3882,Partega Butik & Kommersiell Miljö AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556210-1112,FFAB legopack Aktiebolag,46710,Partihandel med bränslen
556210-1112,FFAB legopack Aktiebolag,20590,Tillverkning av övriga kemiska produkter
556210-1112,FFAB legopack Aktiebolag,20410,"Tillverkning av tvål, såpa, tvättmedel och polermedel"
556210-1112,FFAB legopack Aktiebolag,20130,Tillverkning av andra oorganiska baskemikalier
556821-9470,Matbutiken i Nora AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556697-0819,Loxy Sweden AB,46410,Partihandel med textilier
556697-0819,Loxy Sweden AB,22210,Tillverkning av plasthalvfabrikat
556697-0819,Loxy Sweden AB,77390,Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar
559267-7735,HMB Construction Örebro AB,41200,Byggande av bostadshus och andra byggnader
556995-4877,Saand Assistans AB,88102,Öppna sociala insatser för personer med funktionshinder
556995-4877,Saand Assistans AB,85599,Diverse övrig utbildning
556995-4877,Saand Assistans AB,85600,Stödverksamhet för utbildningsväsendet
556995-4877,Saand Assistans AB,90010,Artistisk verksamhet
556561-9193,NeH Svenska AB,46420,Partihandel med kläder och skodon
556561-9193,NeH Svenska AB,46499,Partihandel med övriga hushållsvaror
556561-9193,NeH Svenska AB,52100,Magasinering och varulagring
556791-4147,Candles Scandinavia AB,32990,Diverse övrig tillverkning
556791-4147,Candles Scandinavia AB,46499,Partihandel med övriga hushållsvaror
556130-5649,Röhnisch Sportswear Aktiebolag,46420,Partihandel med kläder och skodon
556715-1278,Hasopor AB,23190,Tillverkning av andra glasvaror inklusive tekniska glasvaror
556715-1278,Hasopor AB,46731,Partihandel med virke och andra byggmaterial
556062-5286,Laxo Mekan Aktiebolag,29320,Tillverkning av andra delar och tillbehör till motorfordon
556062-5286,Laxo Mekan Aktiebolag,33120,Reparation av maskiner
556835-8021,Hydratec Scandinavia AB,46731,Partihandel med virke och andra byggmaterial
556835-8021,Hydratec Scandinavia AB,25110,Tillverkning av metallstommar och delar därav
556872-3075,Novum Assistans AB,88102,Öppna sociala insatser för personer med funktionshinder
556721-4530,Transdev Mälardalen AB,49320,Taxitrafik
556721-4530,Transdev Mälardalen AB,49390,Annan landtransport av passagerare
556071-3041,Herok Rental AB,77320,Uthyrning och leasing av bygg- och anläggningsmaskiner
556071-3041,Herok Rental AB,33120,Reparation av maskiner
556336-7266,Widén & Erikson Byggnads Aktiebolag,41200,Byggande av bostadshus och andra byggnader
559339-4116,KAPMA Kapacitet Mark & Anläggning AB,43120,Mark- och grundarbeten
556824-5806,AB Martin G. Anderson,23120,Bearbetning av planglas
556824-5806,AB Martin G. Anderson,23110,Framställning av planglas
556824-5806,AB Martin G. Anderson,22210,Tillverkning av plasthalvfabrikat
556824-5806,AB Martin G. Anderson,20300,"Tillverkning av färg, lack, tryckfärg m.m."
556427-7175,Parkhallen i Örebro Aktiebolag,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556800-5432,ÖBO Omsorgsfastigheter AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556800-5432,ÖBO Omsorgsfastigheter AB,68209,Övrig förvaltning av egna eller arrenderade fastigheter
556797-9835,Skadeteknik Sverige AB,81221,Rengöring av byggnader
556797-9835,Skadeteknik Sverige AB,43390,Annan slutbehandling av byggnader
556797-9835,Skadeteknik Sverige AB,81290,Annan rengöring
556060-8332,Vishay Nobel Aktiebolag,33200,Installation av industrimaskiner och -utrustning
556060-8332,Vishay Nobel Aktiebolag,46434,Partihandel med elartiklar
559393-5371,MastIT Sweden AB,42220,Anläggningsarbeten för el och telekommunikation
559393-5371,MastIT Sweden AB,26300,Tillverkning av kommunikationsutrustning
556646-5596,"Tomp Beer, Wine & Spirits AB",46340,Partihandel med drycker
556337-5335,SVAB Hydraulik Aktiebolag,27120,Tillverkning av eldistributions- och elkontrollapparater
556090-8054,Asplunds Fastigheter i Örebro AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556090-8054,Asplunds Fastigheter i Örebro AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556285-7457,Fastighetsaktiebolaget Marieberg Galleria,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556858-5664,VERMEER V1K1NG AB,46630,"Partihandel med gruv-, bygg- och anläggningsmaskiner"
556507-0736,Interior Experts Sweden AB,46650,Partihandel med kontorsmöbler
556617-1236,Söderlunds Slow Food AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
556617-1236,Söderlunds Slow Food AB,10130,Charkuteri- och annan köttvarutillverkning
556617-1236,Söderlunds Slow Food AB,10850,Tillverkning av lagad mat och färdigrätter
556617-1236,Söderlunds Slow Food AB,10200,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur
556427-6060,Hellefors Bryggeri Aktiebolag,46340,Partihandel med drycker
556135-8796,Täby Airmaintenance Aktiebolag,33160,Reparation och underhåll av luftfartyg och rymdfarkoster
556244-3795,Aktiebolaget RSG Connexion,27320,Tillverkning av andra elektroniska och elektriska ledningar och kablar
556900-2149,Maskin System Europe AB,46699,Partihandel med diverse övriga maskiner och utrustning
559011-0853,Adriansson Mark & Anläggning AB,43120,Mark- och grundarbeten
559011-0853,Adriansson Mark & Anläggning AB,49410,"Vägtransport, godstrafik"
556060-6708,Axima DTS AB,46610,Partihandel med jordbruksmaskiner och -utrustning
556354-6356,Legosan Aktiebolag,10890,Framställning av andra livsmedel
556432-8119,Askersundsbostäder Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556686-9581,Egeryds Fastighetsförvaltning AB,81100,Fastighetsrelaterade stödtjänster
556686-9581,Egeryds Fastighetsförvaltning AB,68320,Fastighetsförvaltning på uppdrag
556686-9581,Egeryds Fastighetsförvaltning AB,69201,Redovisning och bokföring
556453-3015,Flex Interior Systems Aktiebolag,46731,Partihandel med virke och andra byggmaterial
556100-4770,Wasa Sweden AB,46410,Partihandel med textilier
556978-4464,Transfer Galaxy AB,66190,Andra stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet
556468-5278,Linde Energi Elnät AB,35120,Överföring av elektricitet
556343-2839,Moelven Valåsen Wood Aktiebolag,16102,Hyvling av trä
556343-2839,Moelven Valåsen Wood Aktiebolag,16291,Tillverkning av förädlade trädbränslen
556914-3513,Örebro Elithockey AB,93120,Sportklubbars och idrottsföreningars verksamhet
556834-6331,Bosse Bil i Åsbro AB,45192,"Handel med husvagnar, husbilar, släpfordon och påhängsvagnar"
556834-6331,Bosse Bil i Åsbro AB,45110,Handel med personbilar och lätta motorfordon
556834-6331,Bosse Bil i Åsbro AB,45202,"Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar"
556834-6331,Bosse Bil i Åsbro AB,45320,Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar
556492-5021,K3 Nordic AB,46510,Partihandel med datorer och kringutrustning samt programvara
